-------------
Loading input relations... 192799 ms
  Lineitem (60000000) 
  Orders (15000000) 
  Customer (1500000) 
-------------
1. On begin of processing... 0 ms
2. Processing tables... 0 ms
3. On system ready... 0 ms
4. Processing streams... Processed: 1000 (0.00%)    Batch time: 0 ms
Processed: 766000 (1.00%)    Batch time: 66 ms
Processed: 1531000 (2.00%)    Batch time: 72 ms
Processed: 2296000 (3.00%)    Batch time: 58 ms
Processed: 3061000 (4.00%)    Batch time: 93 ms
Processed: 3826000 (5.00%)    Batch time: 62 ms
Processed: 4591000 (6.00%)    Batch time: 61 ms
Processed: 5356000 (7.00%)    Batch time: 166 ms
Processed: 6121000 (8.00%)    Batch time: 112 ms
Processed: 6886000 (9.00%)    Batch time: 76 ms
Processed: 7651000 (10.00%)    Batch time: 74 ms
Processed: 8416000 (11.00%)    Batch time: 238 ms
Processed: 9181000 (12.00%)    Batch time: 71 ms
Processed: 9946000 (13.00%)    Batch time: 70 ms
Processed: 10711000 (14.00%)    Batch time: 101 ms
Processed: 11476000 (15.00%)    Batch time: 74 ms
Processed: 12241000 (16.00%)    Batch time: 66 ms
Processed: 13006000 (17.00%)    Batch time: 68 ms
Processed: 13771000 (18.00%)    Batch time: 69 ms
Processed: 14536000 (19.00%)    Batch time: 69 ms
Processed: 15301000 (20.00%)    Batch time: 424 ms
Processed: 16066000 (21.00%)    Batch time: 57 ms
Processed: 16831000 (22.00%)    Batch time: 58 ms
Processed: 17596000 (23.00%)    Batch time: 59 ms
Processed: 18361000 (24.00%)    Batch time: 68 ms
Processed: 19126000 (25.00%)    Batch time: 71 ms
Processed: 19891000 (26.00%)    Batch time: 76 ms
Processed: 20656000 (27.00%)    Batch time: 81 ms
Processed: 21421000 (28.00%)    Batch time: 80 ms
Processed: 22186000 (29.00%)    Batch time: 82 ms
Processed: 22951000 (30.00%)    Batch time: 82 ms
Processed: 23716000 (31.00%)    Batch time: 83 ms
Processed: 24481000 (32.00%)    Batch time: 84 ms
Processed: 25246000 (33.00%)    Batch time: 160 ms
Processed: 26011000 (34.00%)    Batch time: 79 ms
Processed: 26776000 (35.00%)    Batch time: 79 ms
Processed: 27541000 (36.00%)    Batch time: 83 ms
Processed: 28306000 (37.00%)    Batch time: 82 ms
Processed: 29071000 (38.00%)    Batch time: 816 ms
Processed: 29836000 (39.00%)    Batch time: 74 ms
Processed: 30601000 (40.00%)    Batch time: 72 ms
Processed: 31366000 (41.00%)    Batch time: 73 ms
Processed: 32131000 (42.00%)    Batch time: 44 ms
Processed: 32896000 (43.00%)    Batch time: 39 ms
Processed: 33661000 (44.00%)    Batch time: 40 ms
Processed: 34426000 (45.00%)    Batch time: 38 ms
Processed: 35191000 (46.00%)    Batch time: 39 ms
Processed: 35956000 (47.00%)    Batch time: 27 ms
Processed: 36721000 (48.00%)    Batch time: 15 ms
Processed: 37486000 (49.00%)    Batch time: 15 ms
Processed: 38251000 (50.00%)    Batch time: 15 ms
Processed: 39016000 (51.00%)    Batch time: 30 ms
Processed: 39781000 (52.00%)    Batch time: 190 ms
Processed: 40546000 (53.00%)    Batch time: 37 ms
Processed: 41311000 (54.00%)    Batch time: 37 ms
Processed: 42076000 (55.00%)    Batch time: 37 ms
Processed: 42841000 (56.00%)    Batch time: 36 ms
Processed: 43606000 (57.00%)    Batch time: 37 ms
Processed: 44371000 (58.00%)    Batch time: 37 ms
Processed: 45136000 (59.00%)    Batch time: 36 ms
Processed: 45901000 (60.00%)    Batch time: 37 ms
Processed: 46666000 (61.00%)    Batch time: 38 ms
Processed: 47431000 (62.00%)    Batch time: 37 ms
Processed: 48196000 (63.00%)    Batch time: 38 ms
Processed: 48961000 (64.00%)    Batch time: 38 ms
Processed: 49726000 (65.00%)    Batch time: 36 ms
Processed: 50491000 (66.00%)    Batch time: 16 ms
