query,vo,dataset_version,percentage,throughput
tpch_query03,vo1,jcch1,2.03,15400000.0
tpch_query03,vo1,jcch1,3.03,12833333.333333334
tpch_query03,vo1,jcch1,4.04,15400000.0
tpch_query03,vo1,jcch1,5.05,11000000.0
tpch_query03,vo1,jcch1,6.05,11000000.0
tpch_query03,vo1,jcch1,7.06,12833333.333333334
tpch_query03,vo1,jcch1,8.07,6416666.666666667
tpch_query03,vo1,jcch1,9.07,12833333.333333334
tpch_query03,vo1,jcch1,10.08,15400000.0
tpch_query03,vo1,jcch1,11.08,15400000.0
tpch_query03,vo1,jcch1,12.09,15400000.0
tpch_query03,vo1,jcch1,13.1,12833333.333333334
tpch_query03,vo1,jcch1,14.1,5133333.333333333
tpch_query03,vo1,jcch1,15.11,11000000.0
tpch_query03,vo1,jcch1,16.12,7700000.0
tpch_query03,vo1,jcch1,17.12,9625000.0
tpch_query03,vo1,jcch1,18.13,12833333.333333334
tpch_query03,vo1,jcch1,19.14,11000000.0
tpch_query03,vo1,jcch1,20.14,12833333.333333334
tpch_query03,vo1,jcch1,21.15,12833333.333333334
tpch_query03,vo1,jcch1,22.16,12833333.333333334
tpch_query03,vo1,jcch1,23.16,11000000.0
tpch_query03,vo1,jcch1,24.17,7700000.0
tpch_query03,vo1,jcch1,25.18,2851851.8518518517
tpch_query03,vo1,jcch1,26.18,11000000.0
tpch_query03,vo1,jcch1,27.19,11000000.0
tpch_query03,vo1,jcch1,28.2,11000000.0
tpch_query03,vo1,jcch1,29.2,11000000.0
tpch_query03,vo1,jcch1,30.21,4812500.0
tpch_query03,vo1,jcch1,31.22,12833333.333333334
tpch_query03,vo1,jcch1,32.22,11000000.0
tpch_query03,vo1,jcch1,33.23,11000000.0
tpch_query03,vo1,jcch1,34.24,12833333.333333334
tpch_query03,vo1,jcch1,35.24,11000000.0
tpch_query03,vo1,jcch1,36.25,12833333.333333334
tpch_query03,vo1,jcch1,37.25,11000000.0
tpch_query03,vo1,jcch1,38.26,5133333.333333333
tpch_query03,vo1,jcch1,39.27,11000000.0
tpch_query03,vo1,jcch1,40.27,12833333.333333334
tpch_query03,vo1,jcch1,41.28,11000000.0
tpch_query03,vo1,jcch1,42.29,77000000.0
tpch_query03,vo1,jcch1,43.29,38500000.0
tpch_query03,vo1,jcch1,44.3,77000000.0
tpch_query03,vo1,jcch1,45.31,25666666.666666668
tpch_query03,vo1,jcch1,46.31,25666666.666666668
tpch_query03,vo1,jcch1,47.32,19250000.0
tpch_query03,vo1,jcch1,48.33,25666666.666666668
tpch_query03,vo1,jcch1,49.33,19250000.0
tpch_query03,vo1,jcch1,50.34,25666666.666666668
tpch_query03,vo1,jcch1,51.35,38500000.0
tpch_query03,vo1,jcch1,52.35,77000000.0
tpch_query03,vo1,jcch1,53.36,38500000.0
tpch_query03,vo1,jcch1,54.37,38500000.0
tpch_query03,vo1,jcch1,55.37,25666666.666666668
tpch_query03,vo1,jcch1,56.38,19250000.0
tpch_query03,vo1,jcch1,57.39,19250000.0
tpch_query03,vo1,jcch1,58.39,19250000.0
tpch_query03,vo1,jcch1,59.4,25666666.666666668
tpch_query03,vo1,jcch1,60.41,19250000.0
tpch_query03,vo1,jcch1,61.41,19250000.0
tpch_query03,vo1,jcch1,62.42,3666666.6666666665
tpch_query03,vo1,jcch1,63.42,25666666.666666668
tpch_query03,vo1,jcch1,64.43,19250000.0
tpch_query03,vo1,jcch1,65.44,19250000.0
tpch_query03,vo1,jcch1,66.44,25666666.666666668
tpch_query03,vo1,jcch1,67.45,19250000.0
tpch_query03,vo1,jcch1,68.46,38500000.0
tpch_query03,vo1,jcch1,69.46,38500000.0
tpch_query03,vo1,jcch1,70.47,77000000.0
tpch_query03,vo1,jcch1,71.48,38500000.0
tpch_query03,vo1,jcch1,72.48,25666666.666666668
tpch_query03,vo1,jcch1,73.49,19250000.0
tpch_query03,vo1,jcch1,74.5,19250000.0
tpch_query03,vo1,jcch1,75.5,19250000.0
tpch_query03,vo1,jcch1,76.51,19250000.0
tpch_query03,vo1,jcch1,77.52,19250000.0
tpch_query03,vo1,jcch1,78.52,19250000.0
tpch_query03,vo1,jcch1,79.53,19250000.0
tpch_query03,vo1,jcch1,80.54,25666666.666666668
tpch_query03,vo1,jcch1,81.54,19250000.0
tpch_query03,vo1,jcch1,82.55,19250000.0
tpch_query03,vo1,jcch1,83.56,19250000.0
tpch_query03,vo1,jcch1,84.56,19250000.0
tpch_query03,vo1,jcch1,85.57,25666666.666666668
tpch_query03,vo1,jcch1,86.58,77000000.0
tpch_query03,vo1,jcch1,87.58,38500000.0
tpch_query03,vo1,jcch1,88.59,77000000.0
tpch_query03,vo1,jcch1,89.59,25666666.666666668
tpch_query03,vo1,jcch1,90.6,19250000.0
tpch_query03,vo1,jcch1,91.61,19250000.0
tpch_query03,vo1,jcch1,92.61,19250000.0
tpch_query03,vo1,jcch1,93.62,19250000.0
tpch_query03,vo1,jcch1,94.63,19250000.0
tpch_query03,vo1,jcch1,95.63,19250000.0
tpch_query03,vo1,jcch1,96.64,19250000.0
tpch_query03,vo1,jcch1,97.65,1878048.780487805
tpch_query03,vo1,jcch1,98.65,19250000.0
tpch_query03,vo1,jcch1,99.66,25666666.666666668
tpch_query03,vo1,jcch1,100.0,26000000.0
tpch_query03,vo1,jcch_unordered10,1.0,10065789.47368421
tpch_query03,vo1,jcch_unordered10,2.0,7968750.0
tpch_query03,vo1,jcch_unordered10,3.0,8895348.837209301
tpch_query03,vo1,jcch_unordered10,4.0,5930232.558139536
tpch_query03,vo1,jcch_unordered10,5.0,9000000.0
tpch_query03,vo1,jcch_unordered10,6.0,9216867.46987952
tpch_query03,vo1,jcch_unordered10,7.0,4297752.808988764
tpch_query03,vo1,jcch_unordered10,8.0,4935483.870967741
tpch_query03,vo1,jcch_unordered10,9.0,8138297.872340426
tpch_query03,vo1,jcch_unordered10,10.0,7886597.93814433
tpch_query03,vo1,jcch_unordered10,11.0,3297413.7931034486
tpch_query03,vo1,jcch_unordered10,12.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,13.0,3109756.0975609757
tpch_query03,vo1,jcch_unordered10,14.0,7886597.93814433
tpch_query03,vo1,jcch_unordered10,15.0,7806122.448979592
tpch_query03,vo1,jcch_unordered10,16.0,7650000.0
tpch_query03,vo1,jcch_unordered10,17.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,18.0,6769911.504424779
tpch_query03,vo1,jcch_unordered10,19.0,4811320.754716981
tpch_query03,vo1,jcch_unordered10,20.0,2475728.155339806
tpch_query03,vo1,jcch_unordered10,21.0,7574257.425742574
tpch_query03,vo1,jcch_unordered10,22.0,7500000.0
tpch_query03,vo1,jcch_unordered10,23.0,7355769.23076923
