rows,inserts,deletes,duration_ms
1732,1732,0,0.041225
173,173,0,0.224196
1,1,0,0.303633
6929,6929,0,0.257517
1732,1732,0,0.057213
173,173,0,0.188821
1,0,1,0.471627
6929,6929,0,0.25633
1732,1732,0,0.035513
173,173,0,0.173246
1,1,0,0.31694
6929,6929,0,0.244527
1732,1732,0,0.051583
173,173,0,0.185602
1,0,1,0.400173
6929,6929,0,0.244714
1732,1732,0,0.038428
173,173,0,0.171261
1,1,0,0.281268
6929,6929,0,0.298128
1732,1732,0,0.057727
173,173,0,1.22456
1,0,1,0.455798
6929,6929,0,0.248589
1732,1732,0,0.041573
173,173,0,0.160733
1,1,0,0.319768
6929,6929,0,0.255155
1732,1732,0,0.7294
173,173,0,0.186229
1,0,1,0.545202
6929,6929,0,0.292166
1732,1732,0,0.033601
173,173,0,0.177438
1,1,0,0.377272
6929,6929,0,0.259542
1732,1732,0,0.064198
173,173,0,0.174499
1,0,1,0.405878
6929,6929,0,0.273531
1732,1732,0,0.037336
173,173,0,0.157587
1,1,0,0.317781
6929,6929,0,0.268838
1732,1732,0,0.048935
173,173,0,0.177459
1,0,1,0.568823
6929,6929,0,0.286055
1732,1732,0,0.037422
173,173,0,0.182075
1,1,0,0.384729
6929,6929,0,0.292998
1732,1732,0,0.0545
173,173,0,0.173367
1,0,1,0.483478
6929,6929,0,0.273707
1732,1732,0,0.036744
173,173,0,0.171511
1,1,0,0.353725
6929,6929,0,0.283638
1732,1732,0,0.05813
173,173,0,0.177779
1,0,1,0.425416
6929,6929,0,0.293643
1732,1732,0,0.039196
173,173,0,0.168692
1,1,0,0.336685
6929,6929,0,0.887533
1732,1732,0,0.060923
173,173,0,0.176481
1,0,1,0.546223
6929,6929,0,0.75764
1732,1732,0,0.035779
173,173,0,0.183233
1,1,0,0.431264
6929,6929,0,0.289019
1732,1732,0,0.068959
173,173,0,0.193392
1,0,1,0.613734
6929,6929,0,0.271039
1732,1732,0,0.036897
173,173,0,0.176815
1,1,0,0.406518
6929,6929,0,0.289605
1732,1732,0,0.062117
173,173,0,0.180639
1,0,1,0.522202
6929,6929,0,0.276274
1732,1732,0,0.040648
173,173,0,0.174926
1,1,0,0.355456
6929,6929,0,0.273903
1732,1732,0,0.059482
173,173,0,0.188996
1,0,1,0.489642
6929,6929,0,0.278745
1732,1732,0,0.039977
173,173,0,0.173964
1,1,0,0.377647
6929,6929,0,0.280145
1732,1732,0,0.056267
173,173,0,0.180756
1,0,1,0.536622
6929,6929,0,0.284972
1732,1732,0,0.043748
173,173,0,0.175178
1,1,0,0.387412
6929,6929,0,0.277469
1732,1732,0,0.063526
173,173,0,0.200273
1,0,1,0.620626
6929,6929,0,0.275461
1732,1732,0,0.178119
173,173,0,0.186657
1,1,0,0.439411
6929,6929,0,0.289417
